Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.94984292984	0	8.14634146341	4.68119039622	26.0	3.0	8.14634146341	4.68119039622	1002	1002
2.77364897728	1	9.85294117647	5.49223526556	28.0	3.0	9.85294117647	5.49223526556	1005	2007
3.52737593651	2	13.9305555556	8.61898161825	64.0	3.0	13.9305555556	8.61898161825	1003	3010
4.32958197594	3	16.3064516129	11.6889646188	63.0	4.0	16.3064516129	11.6889646188	1011	4021
5.05766892433	4	18.9811320755	10.0235394006	51.0	4.0	18.9811320755	10.0235394006	1006	5027
5.87707686424	5	23.2790697674	10.2488242806	53.0	5.0	23.2790697674	10.2488242806	1001	6028
6.68134379387	6	31.75	16.2576904879	71.0	11.0	31.75	16.2576904879	1016	7044
7.4802968502	7	29.5428571429	13.6032409104	60.0	9.0	29.5428571429	13.6032409104	1034	8078
8.18589091301	8	40.12	12.4589566176	63.0	13.0	40.12	12.4589566176	1003	9081
8.91594195366	9	38.4814814815	22.419188822	101.0	9.0	38.4814814815	22.419188822	1039	10120
9.62138080597	10	34.9310344828	21.3847045475	91.0	10.0	34.9310344828	21.3847045475	1013	11133
10.2936258316	11	33.5666666667	14.1978480373	70.0	10.0	33.5666666667	14.1978480373	1007	12140
11.046820879	12	41.75	18.2100018305	105.0	19.0	41.75	18.2100018305	1002	13142
11.888204813	13	43.652173913	14.5620372907	75.0	17.0	43.652173913	14.5620372907	1004	14146
12.6534349918	14	61.5294117647	25.6012813261	114.0	16.0	61.5294117647	25.6012813261	1046	15192
13.5803408623	15	44.3043478261	22.1505418181	90.0	8.0	44.3043478261	22.1505418181	1019	16211
14.3419008255	16	43.5652173913	19.1284583959	89.0	15.0	43.5652173913	19.1284583959	1002	17213
15.3140509129	17	59.5882352941	23.5872817762	96.0	23.0	59.5882352941	23.5872817762	1013	18226
16.0909759998	18	62.5	33.7593608418	148.0	13.0	62.5	33.7593608418	1125	19351
16.7055928707	19	82.4615384615	51.2289211956	253.0	32.0	82.4615384615	51.2289211956	1072	20423
17.3008749485	20	56.0555555556	28.2950176655	137.0	16.0	56.0555555556	28.2950176655	1009	21432
17.9582209587	21	74.7142857143	37.998925871	194.0	26.0	74.7142857143	37.998925871	1046	22478
18.8955178261	22	85.1428571429	53.6734267091	233.0	24.0	85.1428571429	53.6734267091	1192	23670
19.7443928719	23	100.3	57.2870840591	218.0	25.0	100.3	57.2870840591	1003	24673
20.4640398026	24	72.1428571429	32.142222216	158.0	24.0	72.1428571429	32.142222216	1010	25683
21.0363509655	25	136.375	85.885006695	340.0	57.0	136.375	85.885006695	1091	26774
21.8535068035	26	112.5	73.1686408238	271.0	44.0	112.5	73.1686408238	1125	27899
22.6639080048	27	102.5	58.4794835819	215.0	29.0	102.5	58.4794835819	1025	28924
23.3923079967	28	114.444444444	38.0237093027	162.0	56.0	114.444444444	38.0237093027	1030	29954
24.0891997814	29	158.714285714	75.2438213614	261.0	51.0	158.714285714	75.2438213614	1111	31065
24.7477908134	30	149.571428571	31.3817833548	199.0	86.0	149.571428571	31.3817833548	1047	32112
25.4269199371	31	85.3846153846	39.6029106575	168.0	30.0	85.3846153846	39.6029106575	1110	33222
26.3229398727	32	124.444444444	55.843255061	209.0	24.0	124.444444444	55.843255061	1120	34342
27.265737772	33	135.25	79.7805584087	290.0	43.0	135.25	79.7805584087	1082	35424
28.2859838009	34	138.625	49.3987284755	227.0	82.0	138.625	49.3987284755	1109	36533
29.3290448189	35	139.375	30.1244813233	187.0	93.0	139.375	30.1244813233	1115	37648
30.0531868935	36	184.0	41.2472221287	255.0	140.0	184.0	41.2472221287	1104	38752
30.7916698456	37	137.25	44.1382770393	209.0	48.0	137.25	44.1382770393	1098	39850
31.581499815	38	154.857142857	55.501424876	242.0	83.0	154.857142857	55.501424876	1084	40934
32.3685119152	39	134.0	45.9483405576	243.0	80.0	134.0	45.9483405576	1072	42006
33.1640617847	40	157.285714286	44.6117034155	228.0	98.0	157.285714286	44.6117034155	1101	43107
33.8877727985	41	182.0	73.034238546	283.0	112.0	182.0	73.034238546	1092	44199
34.7380487919	42	179.333333333	76.3755341862	322.0	121.0	179.333333333	76.3755341862	1076	45275
35.512693882	43	170.833333333	64.2272441328	280.0	73.0	170.833333333	64.2272441328	1025	46300
36.2574489117	44	232.2	146.077239842	454.0	50.0	232.2	146.077239842	1161	47461
36.8757607937	45	222.2	119.998999996	423.0	78.0	222.2	119.998999996	1111	48572
