Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.27022123337	0	7.78294573643	4.3401161709	25.0	3.0	7.78294573643	4.3401161709	1004	1004
3.22271513939	1	9.47169811321	4.67067840244	23.0	3.0	9.47169811321	4.67067840244	1004	2008
4.28353309631	2	11.010989011	6.48157914806	41.0	3.0	11.010989011	6.48157914806	1002	3010
5.11624908447	3	14.2253521127	8.7407048143	48.0	3.0	14.2253521127	8.7407048143	1010	4020
6.11233711243	4	17.8245614035	11.3262973108	59.0	4.0	17.8245614035	11.3262973108	1016	5036
7.06745314598	5	25.7692307692	14.308795105	74.0	7.0	25.7692307692	14.308795105	1005	6041
8.11173820496	6	32.34375	16.1140648484	67.0	5.0	32.34375	16.1140648484	1035	7076
8.92960500717	7	29.7142857143	14.7639937078	67.0	11.0	29.7142857143	14.7639937078	1040	8116
9.75261306763	8	32.9677419355	14.5767908123	95.0	11.0	32.9677419355	14.5767908123	1022	9138
10.7014620304	9	30.6666666667	15.1950284267	74.0	10.0	30.6666666667	15.1950284267	1012	10150
11.6257050037	10	33.1612903226	15.0163282617	69.0	9.0	33.1612903226	15.0163282617	1028	11178
12.3693420887	11	36.3214285714	20.2167779887	104.0	10.0	36.3214285714	20.2167779887	1017	12195
13.1507050991	12	33.6451612903	12.6963250642	58.0	12.0	33.6451612903	12.6963250642	1043	13238
14.0541481972	13	42.0	17.2288517706	83.0	19.0	42.0	17.2288517706	1008	14246
14.8722422123	14	50.4	22.5086649982	114.0	11.0	50.4	22.5086649982	1008	15254
15.6904811859	15	38.5	19.3375879492	90.0	8.0	38.5	19.3375879492	1001	16255
16.5314822197	16	43.0416666667	20.3131303321	84.0	15.0	43.0416666667	20.3131303321	1033	17288
17.3421142101	17	47.2727272727	22.4442376046	131.0	19.0	47.2727272727	22.4442376046	1040	18328
18.3115410805	18	54.2105263158	25.4467016731	112.0	12.0	54.2105263158	25.4467016731	1030	19358
19.1033871174	19	43.375	13.6894500133	79.0	18.0	43.375	13.6894500133	1041	20399
19.8573400974	20	43.625	19.9453680922	90.0	13.0	43.625	19.9453680922	1047	21446
20.6346871853	21	59.1764705882	34.1247457118	164.0	15.0	59.1764705882	34.1247457118	1006	22452
21.5857830048	22	63.5555555556	38.1462423113	159.0	17.0	63.5555555556	38.1462423113	1144	23596
22.4831030369	23	84.25	27.719202129	155.0	51.0	84.25	27.719202129	1011	24607
23.5032551289	24	61.1176470588	28.3484253177	150.0	18.0	61.1176470588	28.3484253177	1039	25646
24.2433581352	25	87.0	57.7480158389	196.0	15.0	87.0	57.7480158389	1044	26690
25.0565061569	26	85.8333333333	36.9229678595	175.0	41.0	85.8333333333	36.9229678595	1030	27720
25.8311500549	27	102.3	38.0132871507	175.0	54.0	102.3	38.0132871507	1023	28743
26.8439381123	28	107.7	46.6112647329	212.0	46.0	107.7	46.6112647329	1077	29820
27.6413991451	29	113.555555556	34.2445814403	186.0	75.0	113.555555556	34.2445814403	1022	30842
28.4516830444	30	193.666666667	111.725357711	438.0	119.0	193.666666667	111.725357711	1162	32004
29.4417550564	31	114.222222222	44.8795369796	220.0	51.0	114.222222222	44.8795369796	1028	33032
30.2370362282	32	153.0	62.5551185527	256.0	73.0	153.0	62.5551185527	1071	34103
31.0853550434	33	114.111111111	50.7727933367	188.0	26.0	114.111111111	50.7727933367	1027	35130
32.0296270847	34	162.0	82.8216672824	265.0	63.0	162.0	82.8216672824	1134	36264
32.8158390522	35	131.375	54.8974896967	205.0	39.0	131.375	54.8974896967	1051	37315
33.4701681137	36	204.0	73.4275152787	303.0	136.0	204.0	73.4275152787	1020	38335
34.4679300785	37	198.166666667	79.1842085828	329.0	83.0	198.166666667	79.1842085828	1189	39524
35.5104491711	38	208.2	107.460504373	417.0	116.0	208.2	107.460504373	1041	40565
36.5507671833	39	179.833333333	90.2153288281	296.0	76.0	179.833333333	90.2153288281	1079	41644
37.473069191	40	393.333333333	238.442632281	695.0	112.0	393.333333333	238.442632281	1180	42824
38.253937006	41	205.4	72.5771313845	319.0	126.0	205.4	72.5771313845	1027	43851
39.0419950485	42	205.6	153.496058581	410.0	38.0	205.6	153.496058581	1028	44879
39.8281760216	43	132.5	56.0936716573	252.0	72.0	132.5	56.0936716573	1060	45939
40.824794054	44	280.4	192.983522613	655.0	105.0	280.4	192.983522613	1402	47341
41.565680027	45	258.0	165.79053049	511.0	54.0	258.0	165.79053049	1032	48373
42.6656441689	46	255.833333333	171.40732838	598.0	64.0	255.833333333	171.40732838	1535	49908
43.9414570332	47	587.333333333	342.229292856	1000.0	162.0	587.333333333	342.229292856	1762	51670
44.9990620613	48	471.0	279.185720743	787.0	108.0	471.0	279.185720743	1413	53083
45.9501230717	49	218.4	143.016922076	438.0	82.0	218.4	143.016922076	1092	54175
46.5804932117	50	225.8	127.064393124	459.0	71.0	225.8	127.064393124	1129	55304
47.5351741314	51	409.666666667	100.360461449	548.0	313.0	409.666666667	100.360461449	1229	56533
48.1630380154	52	531.5	288.5	820.0	243.0	531.5	288.5	1063	57596
49.1858022213	53	424.666666667	242.638734656	702.0	111.0	424.666666667	242.638734656	1274	58870
50.5815131664	54	400.25	240.854079268	763.0	145.0	400.25	240.854079268	1601	60471
51.4154360294	55	172.428571429	86.077800594	284.0	59.0	172.428571429	86.077800594	1207	61678
52.174282074	56	207.2	148.23144066	446.0	67.0	207.2	148.23144066	1036	62714
53.1801230907	57	373.5	247.47777678	776.0	133.0	373.5	247.47777678	1494	64208
54.0834310055	58	402.0	95.2295472354	525.0	293.0	402.0	95.2295472354	1206	65414
54.9707040787	59	281.5	118.46201923	382.0	87.0	281.5	118.46201923	1126	66540
55.9085221291	60	399.0	190.904862868	665.0	226.0	399.0	190.904862868	1197	67737
57.2961740494	61	492.0	402.320146152	1000.0	59.0	492.0	402.320146152	1968	69705
57.9117181301	62	509.5	81.5	591.0	428.0	509.5	81.5	1019	70724
58.9689781666	63	649.5	350.5	1000.0	299.0	649.5	350.5	1299	72023
59.8157420158	64	626.5	151.5	778.0	475.0	626.5	151.5	1253	73276
61.1999602318	65	596.333333333	379.069328165	1000.0	89.0	596.333333333	379.069328165	1789	75065
62.2755880356	66	961.0	39.0	1000.0	922.0	961.0	39.0	1922	76987
63.1006112099	67	566.0	434.0	1000.0	132.0	566.0	434.0	1132	78119
63.963160038	68	374.0	329.285084185	831.0	68.0	374.0	329.285084185	1122	79241
64.9889700413	69	454.333333333	193.746111072	654.0	192.0	454.333333333	193.746111072	1363	80604
65.7305140495	70	426.666666667	48.8011839565	493.0	377.0	426.666666667	48.8011839565	1280	81884
66.6583611965	71	773.0	227.0	1000.0	546.0	773.0	227.0	1546	83430
68.0008230209	72	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	85430
69.2183821201	73	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	87430
70.3291392326	74	978.0	22.0	1000.0	956.0	978.0	22.0	1956	89386
70.9254291058	75	545.0	137.0	682.0	408.0	545.0	137.0	1090	90476
72.1598110199	76	954.0	46.0	1000.0	908.0	954.0	46.0	1908	92384
72.9595761299	77	747.0	253.0	1000.0	494.0	747.0	253.0	1494	93878
73.7173950672	78	637.5	28.5	666.0	609.0	637.5	28.5	1275	95153
74.5431780815	79	670.0	330.0	1000.0	340.0	670.0	330.0	1340	96493
75.08329916	80	366.0	174.793211157	498.0	119.0	366.0	174.793211157	1098	97591
76.330368042	81	607.0	282.688285337	1000.0	347.0	607.0	282.688285337	1821	99412
77.1508591175	82	586.5	413.5	1000.0	173.0	586.5	413.5	1173	100585
78.5660102367	83	849.0	151.0	1000.0	698.0	849.0	151.0	1698	102283
79.2637751102	84	521.0	479.0	1000.0	42.0	521.0	479.0	1042	103325
80.6468632221	85	596.333333333	285.459084439	1000.0	390.0	596.333333333	285.459084439	1789	105114
82.4288592339	86	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	107114
83.4897620678	87	715.5	42.5	758.0	673.0	715.5	42.5	1431	108545
84.5662920475	88	472.0	376.343814439	1000.0	150.0	472.0	376.343814439	1416	109961
86.1236791611	89	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	111961
87.4694011211	90	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	113961
