Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.02665686607	0	5.84302325581	2.92221008659	24.0	3.0	5.84302325581	2.92221008659	1005	1005
2.65667080879	1	12.9102564103	8.12590964918	38.0	3.0	12.9102564103	8.12590964918	1007	2012
3.21582794189	2	21.1875	11.7803796098	59.0	4.0	21.1875	11.7803796098	1017	3029
3.76927781105	3	42.375	21.9788013398	119.0	13.0	42.375	21.9788013398	1017	4046
4.35458397865	4	36.25	21.450316348	118.0	11.0	36.25	21.450316348	1015	5061
5.00442099571	5	48.8571428571	22.1128829382	96.0	8.0	48.8571428571	22.1128829382	1026	6087
5.61934900284	6	52.4	31.2720322333	116.0	15.0	52.4	31.2720322333	1048	7135
6.07134199142	7	40.32	20.3641253188	82.0	11.0	40.32	20.3641253188	1008	8143
6.54589796066	8	56.4736842105	35.1962444484	144.0	15.0	56.4736842105	35.1962444484	1073	9216
7.07010984421	9	54.9473684211	28.3798922223	125.0	17.0	54.9473684211	28.3798922223	1044	10260
7.69350481033	10	55.9444444444	28.8241261258	107.0	28.0	55.9444444444	28.8241261258	1007	11267
8.3610367775	11	91.0	45.3302695043	186.0	41.0	91.0	45.3302695043	1092	12359
8.8989238739	12	70.1333333333	29.302711289	136.0	29.0	70.1333333333	29.302711289	1052	13411
9.42592382431	13	78.3846153846	44.8613907352	202.0	30.0	78.3846153846	44.8613907352	1019	14430
9.99467682838	14	51.2	45.1038800992	185.0	14.0	51.2	45.1038800992	1024	15454
10.6343789101	15	38.8461538462	21.1363564062	99.0	17.0	38.8461538462	21.1363564062	1010	16464
11.2047429085	16	77.5384615385	52.4794690765	183.0	17.0	77.5384615385	52.4794690765	1008	17472
11.8407077789	17	131.0	22.6715680975	179.0	100.0	131.0	22.6715680975	1048	18520
12.452521801	18	100.8	21.7016128433	158.0	79.0	100.8	21.7016128433	1008	19528
13.0420348644	19	79.0769230769	7.63052108778	92.0	64.0	79.0769230769	7.63052108778	1028	20556
13.6462938786	20	66.9333333333	12.013695888	107.0	56.0	66.9333333333	12.013695888	1004	21560
14.2068488598	21	60.4117647059	10.1347324961	84.0	44.0	60.4117647059	10.1347324961	1027	22587
14.7369048595	22	46.2272727273	8.36079497189	71.0	34.0	46.2272727273	8.36079497189	1017	23604
15.2743959427	23	36.2857142857	7.6104117725	55.0	12.0	36.2857142857	7.6104117725	1016	24620
15.8221328259	24	32.935483871	6.30890555342	44.0	20.0	32.935483871	6.30890555342	1021	25641
16.4083209038	25	31.0606060606	5.95915081371	42.0	18.0	31.0606060606	5.95915081371	1025	26666
17.0550608635	26	32.6129032258	8.58985680663	56.0	20.0	32.6129032258	8.58985680663	1011	27677
17.685259819	27	42.2083333333	11.5071686594	71.0	28.0	42.2083333333	11.5071686594	1013	28690
18.153428793	28	33.8	10.6814480916	59.0	19.0	33.8	10.6814480916	1014	29704
18.8325788975	29	30.9090909091	8.25856263216	53.0	12.0	30.9090909091	8.25856263216	1020	30724
