Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.83227705956	0	11.1428571429	8.06099198838	49.0	3.0	11.1428571429	8.06099198838	1014	1014
2.50838494301	1	24.4390243902	13.7060584441	64.0	7.0	24.4390243902	13.7060584441	1002	2016
3.05474185944	2	31.625	17.898585838	91.0	7.0	31.625	17.898585838	1012	3028
3.57806992531	3	49.0454545455	23.2798728377	108.0	20.0	49.0454545455	23.2798728377	1079	4107
4.08417892456	4	43.4583333333	27.1446421458	121.0	10.0	43.4583333333	27.1446421458	1043	5150
4.76940202713	5	54.3684210526	22.8270627161	97.0	17.0	54.3684210526	22.8270627161	1033	6183
5.41347694397	6	49.3333333333	26.0390427249	127.0	10.0	49.3333333333	26.0390427249	1036	7219
6.01395797729	7	55.8888888889	30.2432524869	142.0	10.0	55.8888888889	30.2432524869	1006	8225
6.65926194191	8	51.3	23.1971981067	105.0	22.0	51.3	23.1971981067	1026	9251
7.24408006668	9	56.2222222222	20.2472372753	93.0	30.0	56.2222222222	20.2472372753	1012	10263
7.68960404396	10	57.0555555556	23.2103239056	128.0	31.0	57.0555555556	23.2103239056	1027	11290
8.2138800621	11	60.5882352941	30.1526680578	170.0	33.0	60.5882352941	30.1526680578	1030	12320
8.73364686966	12	63.6875	23.3042880979	113.0	32.0	63.6875	23.3042880979	1019	13339
9.36527395248	13	64.125	31.620553047	119.0	20.0	64.125	31.620553047	1026	14365
9.99891400337	14	126.9	69.1700079514	292.0	56.0	126.9	69.1700079514	1269	15634
10.5649628639	15	121.0	29.2612751298	164.0	66.0	121.0	29.2612751298	1089	16723
11.1550090313	16	91.0909090909	25.418155807	142.0	53.0	91.0909090909	25.418155807	1002	17725
11.701472044	17	84.3846153846	13.1063018403	116.0	69.0	84.3846153846	13.1063018403	1097	18822
12.2899160385	18	83.3846153846	19.867013486	124.0	55.0	83.3846153846	19.867013486	1084	19906
12.8180160522	19	65.3125	19.3252385173	98.0	15.0	65.3125	19.3252385173	1045	20951
13.3536839485	20	81.6153846154	37.3909459661	199.0	53.0	81.6153846154	37.3909459661	1061	22012
13.9766540527	21	73.9285714286	16.3945299489	113.0	49.0	73.9285714286	16.3945299489	1035	23047
14.4986190796	22	80.3076923077	17.1840024682	125.0	59.0	80.3076923077	17.1840024682	1044	24091
15.0864920616	23	59.7058823529	9.73631592292	79.0	43.0	59.7058823529	9.73631592292	1015	25106
15.6151790619	24	44.8695652174	12.3087256001	88.0	30.0	44.8695652174	12.3087256001	1032	26138
16.1991250515	25	33.0967741935	11.4732644023	56.0	5.0	33.0967741935	11.4732644023	1026	27164
16.7344040871	26	41.24	12.6689541794	80.0	25.0	41.24	12.6689541794	1031	28195
17.3226499557	27	34.6206896552	10.9336992292	64.0	16.0	34.6206896552	10.9336992292	1004	29199
17.9658420086	28	27.0526315789	9.63804787076	61.0	16.0	27.0526315789	9.63804787076	1028	30227
18.4989049435	29	28.8857142857	8.69736061301	58.0	15.0	28.8857142857	8.69736061301	1011	31238
19.0403289795	30	35.6896551724	9.73122754519	65.0	25.0	35.6896551724	9.73122754519	1035	32273
19.6812050343	31	33.9666666667	9.41092745459	54.0	23.0	33.9666666667	9.41092745459	1019	33292
20.319010973	32	37.6666666667	14.6717163024	98.0	24.0	37.6666666667	14.6717163024	1017	34309
20.8846549988	33	42.5416666667	9.58722746969	79.0	31.0	42.5416666667	9.58722746969	1021	35330
21.5052490234	34	44.3913043478	13.4802242609	84.0	29.0	44.3913043478	13.4802242609	1021	36351
22.060781002	35	42.44	11.5933774199	83.0	21.0	42.44	11.5933774199	1061	37412
22.5762028694	36	48.0476190476	14.5388680717	89.0	34.0	48.0476190476	14.5388680717	1009	38421
