Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.87005901337	0	14.1014084507	4.99022969236	39.0	8.0	14.1014084507	4.99022969236	5006	5006
4.98267817497	1	14.5275362319	5.79004352961	47.0	8.0	14.5275362319	5.79004352961	5012	10018
6.90466308594	2	15.0510510511	5.55997389437	42.0	8.0	15.0510510511	5.55997389437	5012	15030
9.53644800186	3	16.504950495	7.91742502692	56.0	8.0	16.504950495	7.91742502692	5001	20031
11.8789401054	4	17.0204081633	7.07103836129	47.0	8.0	17.0204081633	7.07103836129	5004	25035
14.3111610413	5	18.6208178439	8.77842137625	61.0	8.0	18.6208178439	8.77842137625	5009	30044
16.7026181221	6	18.9248120301	8.84547720985	56.0	8.0	18.9248120301	8.84547720985	5034	35078
19.2397511005	7	20.1975806452	10.5939191605	77.0	8.0	20.1975806452	10.5939191605	5009	40087
21.5290060043	8	21.0416666667	9.43123872505	59.0	9.0	21.0416666667	9.43123872505	5050	45137
24.1538860798	9	24.014354067	11.710412685	69.0	9.0	24.014354067	11.710412685	5019	50156
26.4423069954	10	25.6769230769	14.3001965477	93.0	9.0	25.6769230769	14.3001965477	5007	55163
28.6564099789	11	25.1457286432	12.6889287931	100.0	8.0	25.1457286432	12.6889287931	5004	60167
30.7134289742	12	27.532967033	15.1648998645	95.0	9.0	27.532967033	15.1648998645	5011	65178
32.9009821415	13	30.0239520958	15.2511713875	78.0	10.0	30.0239520958	15.2511713875	5014	70192
35.1356639862	14	33.5637583893	17.608845454	100.0	10.0	33.5637583893	17.608845454	5001	75193
37.1967251301	15	35.4964539007	18.6925950042	126.0	10.0	35.4964539007	18.6925950042	5005	80198
39.1835560799	16	38.5267175573	20.8206915007	110.0	12.0	38.5267175573	20.8206915007	5047	85245
41.4194610119	17	35.2887323944	16.9708038378	109.0	11.0	35.2887323944	16.9708038378	5011	90256
43.4814670086	18	41.8333333333	22.1157309523	119.0	12.0	41.8333333333	22.1157309523	5020	95276
45.763584137	19	41.2357723577	21.0917782698	138.0	14.0	41.2357723577	21.0917782698	5072	100348
48.0471730232	20	39.7142857143	21.1543297917	144.0	13.0	39.7142857143	21.1543297917	5004	105352
50.2346510887	21	42.1848739496	19.6199034539	151.0	12.0	42.1848739496	19.6199034539	5020	110372
52.4739630222	22	45.2232142857	22.4120144045	146.0	14.0	45.2232142857	22.4120144045	5065	115437
54.4838991165	23	46.8425925926	24.4302340148	165.0	14.0	46.8425925926	24.4302340148	5059	120496
56.7622921467	24	49.6633663366	20.5283080221	113.0	16.0	49.6633663366	20.5283080221	5016	125512
58.9954819679	25	50.05	25.2568307592	125.0	13.0	50.05	25.2568307592	5005	130517
61.3561630249	26	48.5631067961	21.2761181139	146.0	15.0	48.5631067961	21.2761181139	5002	135519
63.6009149551	27	53.2553191489	25.7656939038	137.0	12.0	53.2553191489	25.7656939038	5006	140525
66.2066071033	28	51.9484536082	22.8605684617	130.0	14.0	51.9484536082	22.8605684617	5039	145564
68.4081201553	29	53.6808510638	19.2945879116	116.0	21.0	53.6808510638	19.2945879116	5046	150610
70.2670619488	30	56.202247191	21.3721333712	153.0	22.0	56.202247191	21.3721333712	5002	155612
72.1771540642	31	53.5319148936	23.9710384332	161.0	19.0	53.5319148936	23.9710384332	5032	160644
73.9774279594	32	57.0	24.6281435465	165.0	20.0	57.0	24.6281435465	5016	165660
75.5476951599	33	56.0444444444	22.3497010227	142.0	24.0	56.0444444444	22.3497010227	5044	170704
77.1992180347	34	55.5666666667	26.1657324674	200.0	16.0	55.5666666667	26.1657324674	5001	175705
