Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.08997821808	0	16.9527027027	7.09237738842	53.0	9.0	16.9527027027	7.09237738842	5018	5018
5.61639213562	1	18.9018867925	9.82746422246	62.0	8.0	18.9018867925	9.82746422246	5009	10027
7.77082800865	2	19.9285714286	9.24548673372	56.0	9.0	19.9285714286	9.24548673372	5022	15049
10.3085939884	3	23.133640553	12.5237331237	82.0	8.0	23.133640553	12.5237331237	5020	20069
12.5068302155	4	23.4835680751	12.8064670591	87.0	9.0	23.4835680751	12.8064670591	5002	25071
14.8124241829	5	28.5828571429	14.7188020808	77.0	9.0	28.5828571429	14.7188020808	5002	30073
17.3172490597	6	32.2838709677	19.4195627467	102.0	10.0	32.2838709677	19.4195627467	5004	35077
19.5401601791	7	36.4057971014	24.391325876	148.0	10.0	36.4057971014	24.391325876	5024	40101
21.7390182018	8	47.320754717	34.9264853737	200.0	9.0	47.320754717	34.9264853737	5016	45117
24.3618590832	9	52.9894736842	36.6492607054	174.0	12.0	52.9894736842	36.6492607054	5034	50151
26.8957071304	10	59.2235294118	41.3576585043	193.0	11.0	59.2235294118	41.3576585043	5034	55185
29.2776870728	11	65.1038961039	32.9705041009	160.0	14.0	65.1038961039	32.9705041009	5013	60198
31.8649480343	12	79.6666666667	46.3653537865	185.0	14.0	79.6666666667	46.3653537865	5019	65217
34.1218371391	13	75.1764705882	35.7856943059	150.0	19.0	75.1764705882	35.7856943059	5112	70329
36.4927451611	14	81.8709677419	43.9591026468	200.0	11.0	81.8709677419	43.9591026468	5076	75405
39.2430691719	15	82.3114754098	48.712452033	200.0	15.0	82.3114754098	48.712452033	5021	80426
41.5674171448	16	103.346938776	46.6132813781	200.0	18.0	103.346938776	46.6132813781	5064	85490
44.2875161171	17	95.1886792453	48.1091748217	200.0	18.0	95.1886792453	48.1091748217	5045	90535
46.7300240993	18	117.204545455	55.1949353513	200.0	23.0	117.204545455	55.1949353513	5157	95692
48.7452020645	19	108.808510638	58.1639788719	200.0	13.0	108.808510638	58.1639788719	5114	100806
51.2137920856	20	111.155555556	45.1589565648	200.0	21.0	111.155555556	45.1589565648	5002	105808
53.8192360401	21	131.358974359	58.3554480481	200.0	22.0	131.358974359	58.3554480481	5123	110931
56.0817391872	22	145.371428571	51.2200215955	200.0	36.0	145.371428571	51.2200215955	5088	116019
58.4991121292	23	138.918918919	55.0048540258	200.0	34.0	138.918918919	55.0048540258	5140	121159
61.0078151226	24	143.485714286	50.8681047576	200.0	26.0	143.485714286	50.8681047576	5022	126181
63.2778301239	25	139.972222222	55.2099458185	200.0	34.0	139.972222222	55.2099458185	5039	131220
65.8630092144	26	155.303030303	51.0290973729	200.0	51.0	155.303030303	51.0290973729	5125	136345
68.1972270012	27	144.914285714	59.5431998893	200.0	27.0	144.914285714	59.5431998893	5072	141417
70.5004870892	28	160.46875	55.377107395	200.0	21.0	160.46875	55.377107395	5135	146552
73.133616209	29	162.129032258	44.3568679888	200.0	68.0	162.129032258	44.3568679888	5026	151578
75.8944990635	30	186.555555556	26.6017728918	200.0	102.0	186.555555556	26.6017728918	5037	156615
78.3861172199	31	160.875	41.2126725049	200.0	77.0	160.875	41.2126725049	5148	161763
80.5695672035	32	178.785714286	34.8264648373	200.0	66.0	178.785714286	34.8264648373	5006	166769
83.3159191608	33	187.814814815	24.3250169001	200.0	120.0	187.814814815	24.3250169001	5071	171840
86.0918650627	34	178.206896552	37.0641376166	200.0	40.0	178.206896552	37.0641376166	5168	177008
88.5663151741	35	188.333333333	22.2826954949	200.0	121.0	188.333333333	22.2826954949	5085	182093
90.9362959862	36	182.892857143	27.2007606061	200.0	91.0	182.892857143	27.2007606061	5121	187214
93.4404830933	37	178.642857143	33.5550872082	200.0	69.0	178.642857143	33.5550872082	5002	192216
96.0086112022	38	182.607142857	27.5387250531	200.0	119.0	182.607142857	27.5387250531	5113	197329
98.3927180767	39	174.310344828	46.7016232815	200.0	39.0	174.310344828	46.7016232815	5055	202384
100.81575799	40	182.535714286	28.2583516642	200.0	106.0	182.535714286	28.2583516642	5111	207495
102.926973104	41	191.666666667	21.9595587893	200.0	107.0	191.666666667	21.9595587893	5175	212670
105.788172007	42	192.555555556	19.8052244012	200.0	108.0	192.555555556	19.8052244012	5199	217869
108.331907988	43	196.115384615	10.9485753308	200.0	158.0	196.115384615	10.9485753308	5099	222968
110.992848158	44	199.115384615	4.22744624746	200.0	178.0	199.115384615	4.22744624746	5177	228145
113.28503418	45	192.296296296	20.2572617337	200.0	131.0	192.296296296	20.2572617337	5192	233337
115.880769014	46	195.269230769	15.3636876891	200.0	125.0	195.269230769	15.3636876891	5077	238414
118.189862013	47	187.37037037	28.0979083816	200.0	112.0	187.37037037	28.0979083816	5059	243473
120.894701004	48	197.846153846	10.7692307692	200.0	144.0	197.846153846	10.7692307692	5144	248617
123.208841085	49	194.846153846	15.5407462144	200.0	136.0	194.846153846	15.5407462144	5066	253683
125.216950178	50	196.076923077	15.5165496683	200.0	122.0	196.076923077	15.5165496683	5098	258781
