Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.7187101841	0	16.4052287582	6.75378171333	54.0	8.0	16.4052287582	6.75378171333	5020	5020
5.14802002907	1	18.8383458647	9.12075400692	61.0	8.0	18.8383458647	9.12075400692	5011	10031
7.33791613579	2	20.9372384937	10.6966656083	70.0	8.0	20.9372384937	10.6966656083	5004	15035
9.85800409317	3	21.9342105263	10.5941917962	61.0	8.0	21.9342105263	10.5941917962	5001	20036
12.4924771786	4	23.961722488	12.6637964518	68.0	9.0	23.961722488	12.6637964518	5008	25044
15.1498501301	5	29.6686390533	19.5674291301	150.0	8.0	29.6686390533	19.5674291301	5014	30058
17.8670840263	6	33.1973684211	19.3520158999	128.0	10.0	33.1973684211	19.3520158999	5046	35104
20.3537771702	7	38.2045454545	26.3613406785	134.0	9.0	38.2045454545	26.3613406785	5043	40147
23.1415290833	8	40.918699187	28.2738045605	142.0	10.0	40.918699187	28.2738045605	5033	45180
25.6971180439	9	47.1869158879	30.1823525963	132.0	11.0	47.1869158879	30.1823525963	5049	50229
28.2570030689	10	56.2471910112	37.7154577135	159.0	12.0	56.2471910112	37.7154577135	5006	55235
30.8166501522	11	59.6071428571	36.8794748236	180.0	12.0	59.6071428571	36.8794748236	5007	60242
33.3249042034	12	68.2567567568	37.34537882	176.0	12.0	68.2567567568	37.34537882	5051	65293
35.9760401249	13	69.9166666667	45.302915653	200.0	15.0	69.9166666667	45.302915653	5034	70327
38.3360090256	14	69.3424657534	37.0627824171	200.0	13.0	69.3424657534	37.0627824171	5062	75389
40.8692920208	15	69.0136986301	32.1935470224	146.0	15.0	69.0136986301	32.1935470224	5038	80427
43.5449810028	16	90.9818181818	44.3803768713	196.0	14.0	90.9818181818	44.3803768713	5004	85431
46.1701760292	17	87.6779661017	41.8987644646	200.0	22.0	87.6779661017	41.8987644646	5173	90604
48.8295710087	18	90.375	43.1362304218	200.0	26.0	90.375	43.1362304218	5061	95665
51.3755102158	19	98.3529411765	50.0058128109	200.0	29.0	98.3529411765	50.0058128109	5016	100681
53.9793980122	20	92.2857142857	39.3013605207	200.0	17.0	92.2857142857	39.3013605207	5168	105849
56.4613790512	21	90.8571428571	38.9135619819	186.0	15.0	90.8571428571	38.9135619819	5088	110937
59.1789391041	22	111.222222222	46.7341839622	200.0	14.0	111.222222222	46.7341839622	5005	115942
61.7049911022	23	116.651162791	48.4959282496	200.0	23.0	116.651162791	48.4959282496	5016	120958
64.282405138	24	116.651162791	49.2269937865	200.0	25.0	116.651162791	49.2269937865	5016	125974
66.8798840046	25	124.048780488	42.6477067233	200.0	37.0	124.048780488	42.6477067233	5086	131060
68.9555091858	26	137.756756757	47.1876102643	200.0	23.0	137.756756757	47.1876102643	5097	136157
71.2338900566	27	143.057142857	45.901100427	200.0	42.0	143.057142857	45.901100427	5007	141164
73.8106110096	28	144.305555556	48.4136226493	200.0	39.0	144.305555556	48.4136226493	5195	146359
76.400881052	29	144.542857143	43.7370995558	200.0	20.0	144.542857143	43.7370995558	5059	151418
78.9412519932	30	171.266666667	40.2806267192	200.0	89.0	171.266666667	40.2806267192	5138	156556
81.6790361404	31	150.617647059	45.0796776346	200.0	48.0	150.617647059	45.0796776346	5121	161677
