Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.986423969269	0	21.2083333333	11.4144614659	51.0	9.0	21.2083333333	11.4144614659	1018	1018
1.54574203491	1	21.9782608696	9.95749473127	47.0	9.0	21.9782608696	9.95749473127	1011	2029
2.06873106956	2	21.5106382979	9.05978333409	60.0	9.0	21.5106382979	9.05978333409	1011	3040
2.51804304123	3	20.6326530612	10.0054961989	50.0	8.0	20.6326530612	10.0054961989	1011	4051
3.03791713715	4	21.5106382979	11.824734877	65.0	8.0	21.5106382979	11.824734877	1011	5062
3.65075206757	5	24.5609756098	10.340658045	59.0	10.0	24.5609756098	10.340658045	1007	6069
4.14492797852	6	33.3225806452	16.8549544679	100.0	12.0	33.3225806452	16.8549544679	1033	7102
4.74530911446	7	28.1111111111	13.9279450861	65.0	10.0	28.1111111111	13.9279450861	1012	8114
5.27693200111	8	29.7941176471	15.6163176569	76.0	10.0	29.7941176471	15.6163176569	1013	9127
5.83770608902	9	30.3333333333	12.9747229004	73.0	12.0	30.3333333333	12.9747229004	1001	10128
6.36313700676	10	31.6875	24.7189672873	147.0	10.0	31.6875	24.7189672873	1014	11142
6.75989317894	11	36.0357142857	15.3843198068	74.0	15.0	36.0357142857	15.3843198068	1009	12151
7.28128910065	12	34.6551724138	14.4753675722	66.0	14.0	34.6551724138	14.4753675722	1005	13156
7.91531014442	13	37.0740740741	14.9143875998	84.0	14.0	37.0740740741	14.9143875998	1001	14157
8.36291599274	14	41.04	24.1685415365	128.0	18.0	41.04	24.1685415365	1026	15183
8.91342616081	15	45.0869565217	21.4332392072	102.0	18.0	45.0869565217	21.4332392072	1037	16220
9.40394711494	16	45.347826087	20.7062450056	113.0	22.0	45.347826087	20.7062450056	1043	17263
9.96269416809	17	51.25	27.1493554251	123.0	13.0	51.25	27.1493554251	1025	18288
10.4767050743	18	42.1666666667	27.9950392431	133.0	18.0	42.1666666667	27.9950392431	1012	19300
11.0153729916	19	47.7727272727	27.5432417353	116.0	10.0	47.7727272727	27.5432417353	1051	20351
11.5950410366	20	54.7368421053	20.3620961212	110.0	27.0	54.7368421053	20.3620961212	1040	21391
12.0409851074	21	53.0	26.2798702232	110.0	17.0	53.0	26.2798702232	1007	22398
12.6151180267	22	51.85	19.5429654863	85.0	23.0	51.85	19.5429654863	1037	23435
13.0786249638	23	53.0	24.9251511108	108.0	16.0	53.0	24.9251511108	1007	24442
13.5772621632	24	51.3	19.2875607582	86.0	17.0	51.3	19.2875607582	1026	25468
