Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.881482124329	0	13.9315068493	4.83233619193	33.0	8.0	13.9315068493	4.83233619193	1017	1017
1.34037017822	1	14.2394366197	4.52680526197	27.0	8.0	14.2394366197	4.52680526197	1011	2028
1.80422902107	2	15.2121212121	4.64665129182	26.0	9.0	15.2121212121	4.64665129182	1004	3032
2.31398296356	3	16.4262295082	6.76407825471	39.0	9.0	16.4262295082	6.76407825471	1002	4034
2.8630759716	4	15.9365079365	6.55834138893	38.0	8.0	15.9365079365	6.55834138893	1004	5038
3.35694313049	5	17.0338983051	5.76654907142	33.0	9.0	17.0338983051	5.76654907142	1005	6043
3.81474804878	6	17.275862069	6.81477376721	36.0	8.0	17.275862069	6.81477376721	1002	7045
4.13354897499	7	23.4318181818	12.792749593	59.0	8.0	23.4318181818	12.792749593	1031	8076
4.39730405807	8	18.0178571429	6.69085482321	38.0	9.0	18.0178571429	6.69085482321	1009	9085
4.69194698334	9	25.35	11.8164080837	61.0	9.0	25.35	11.8164080837	1014	10099
5.10598516464	10	25.1	13.1506653824	65.0	11.0	25.1	13.1506653824	1004	11103
5.49887108803	11	23.0454545455	11.6110342219	62.0	10.0	23.0454545455	11.6110342219	1014	12117
5.97148299217	12	29.7058823529	12.8281157476	65.0	12.0	29.7058823529	12.8281157476	1010	13127
6.449696064	13	33.0	18.8337377443	86.0	13.0	33.0	18.8337377443	1023	14150
6.99744415283	14	30.5588235294	17.0642232833	78.0	10.0	30.5588235294	17.0642232833	1039	15189
7.59293198586	15	36.0357142857	18.6920191962	81.0	11.0	36.0357142857	18.6920191962	1009	16198
8.11041307449	16	34.6896551724	20.4991226865	103.0	13.0	34.6896551724	20.4991226865	1006	17204
8.63080406189	17	31.4375	14.265205703	67.0	11.0	31.4375	14.265205703	1006	18210
9.05997610092	18	35.3103448276	22.1485633507	99.0	9.0	35.3103448276	22.1485633507	1024	19234
9.50240898132	19	40.4615384615	19.4446567097	90.0	14.0	40.4615384615	19.4446567097	1052	20286
9.95584511757	20	48.380952381	28.456275884	135.0	13.0	48.380952381	28.456275884	1016	21302
10.3191800117	21	42.3333333333	23.9316155372	116.0	15.0	42.3333333333	23.9316155372	1016	22318
10.7531940937	22	46.4347826087	20.2931260303	88.0	19.0	46.4347826087	20.2931260303	1068	23386
11.3058371544	23	47.1818181818	26.928586304	124.0	9.0	47.1818181818	26.928586304	1038	24424
11.8376920223	24	41.7083333333	18.7760467233	79.0	13.0	41.7083333333	18.7760467233	1001	25425
12.1421780586	25	44.1739130435	20.852801238	104.0	15.0	44.1739130435	20.852801238	1016	26441
12.5592560768	26	48.0454545455	25.5102069995	123.0	15.0	48.0454545455	25.5102069995	1057	27498
